ï»¿"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Arginine","Caenorhabditis elegans","8","","N2","1 mM","Y","25643626"
"Alpha-ketoglutarate","Caenorhabditis elegans","15","","N2","1 mM","Y","25643626"
"Arginine","Caenorhabditis elegans","15","","N2","10 mM","Y","25643626"
"Asparagine","Caenorhabditis elegans","1","","N2","1 mM","N","25643626"
"Asparagine","Caenorhabditis elegans","-25","","N2","10 mM","Y","25643626"
"Asparagine","Caenorhabditis elegans","5","","N2","5 mM","Y","25643626"
"Beta-alanine","Caenorhabditis elegans","5","","N2","5 mM","N","25643626"
"Beta-alanine","Caenorhabditis elegans","13","","N2","1 mM","Y","25643626"
"Caprylate","Caenorhabditis elegans","1","","N2","100 µM","N","25643626"
"Caprylate","Caenorhabditis elegans","7","","N2","1 mM","Y","25643626"
"Arginine","Caenorhabditis elegans","11","","N2","5 mM","Y","25643626"
"Caprylate","Caenorhabditis elegans","-18","","N2","10 mM","Y","25643626"
"Caprylate","Caenorhabditis elegans","-5","","N2","5 mM","Y","25643626"
"Citrate","Caenorhabditis elegans","-2","","N2","10 mM","N","25643626"
"Carnosine","Caenorhabditis elegans","4","","N2","100 µM","Y","25643626"
"Carnosine","Caenorhabditis elegans","1","","N2","10 µM","N","25643626"
"Betaine","Caenorhabditis elegans","9","","N2","1 mM","Y","25643626"
"Creatine","Caenorhabditis elegans","-20","","N2","5 mM","Y","25643626"
"Creatine","Caenorhabditis elegans","-4","","N2","1 mM","Y","25643626"
"Creatine","Caenorhabditis elegans","-18","","N2","10 mM","Y","25643626"
"Cysteine","Caenorhabditis elegans","9","","N2","1 mM","Y","25643626"
"Cysteine","Caenorhabditis elegans","16","","N2","5 mM","Y","25643626"
"Carnosine","Caenorhabditis elegans","11","","N2","1 mM","Y","25643626"
"Cysteine","Caenorhabditis elegans","2","","N2","10 mM","N","25643626"
"D-alanine","Caenorhabditis elegans","16","","N2","10 mM","Y","25643626"
"D-alanine","Caenorhabditis elegans","14","","N2","1 mM","Y","25643626"
"D-aspartate","Caenorhabditis elegans","7","","N2","1 mM","N","25643626"
"D-alanine","Caenorhabditis elegans","16","","N2","5 mM","Y","25643626"
"D-aspartate","Caenorhabditis elegans","8","","N2","10 mM","Y","25643626"
"D-glutamate","Caenorhabditis elegans","-3","","N2","10 mM","N","25643626"
"D-aspartate","Caenorhabditis elegans","18","","N2","5 mM","Y","25643626"
"D-glutamate","Caenorhabditis elegans","14","","N2","1 mM","Y","25643626"
"D-glutamate","Caenorhabditis elegans","18","","N2","5 mM","Y","25643626"
"DL-isocitrate","Caenorhabditis elegans","-28","","N2","10 mM","Y","25643626"
"DL-isocitrate","Caenorhabditis elegans","3","","N2","1 mM","N","25643626"
"DL-isocitrate","Caenorhabditis elegans","13","","N2","5 mM","Y","25643626"
"DL-lactate","Caenorhabditis elegans","6","","N2","5 mM","Y","25643626"
"Galactose","Caenorhabditis elegans","1","","N2","1 mM","N","25643626"
"DL-lactate","Caenorhabditis elegans","2","","N2","10 mM","N","25643626"
"Galactose","Caenorhabditis elegans","6","","N2","10 mM","Y","25643626"
"DL-lactate","Caenorhabditis elegans","3","","N2","1 mM","N","25643626"
"Gluconate","Caenorhabditis elegans","17","","N2","5 mM","Y","25643626"
"Gluconate","Caenorhabditis elegans","16","","N2","10 mM","Y","25643626"
"Gluconate","Caenorhabditis elegans","8","","N2","1 mM","Y","25643626"
"Glutamate","Caenorhabditis elegans","14","","N2","1 mM","Y","25643626"
"Glutamate","Caenorhabditis elegans","-8","","N2","10 mM","Y","25643626"
"Glutamine","Caenorhabditis elegans","15","","N2","1 mM","Y","25643626"
"Glutamate","Caenorhabditis elegans","11","","N2","5 mM","Y","25643626"
"Glutamine","Caenorhabditis elegans","-6","","N2","10 mM","Y","25643626"
"Glycerol","Caenorhabditis elegans","21","","N2","10 mM","Y","25643626"
"Glutamine","Caenorhabditis elegans","16","","N2","5 mM","Y","25643626"
"Glycine","Caenorhabditis elegans","3","","N2","5 mM","N","25643626"
"Glycine","Caenorhabditis elegans","10","","N2","1 mM","Y","25643626"
"Glycine","Caenorhabditis elegans","-4","","N2","10 mM","N","25643626"
"Histidine","Caenorhabditis elegans","10","","N2","5 mM","Y","25643626"
"Histidine","Caenorhabditis elegans","4","","N2","1 mM","N","25643626"
"Histidine","Caenorhabditis elegans","9","","N2","5 mM","Y","25643626"
"Histidine","Caenorhabditis elegans","12","","N2","10 mM","Y","25643626"
"Homocysteine","Caenorhabditis elegans","7","","N2","5 mM","Y","25643626"
"Inositol","Caenorhabditis elegans","3","","N2","1 mM","Y","25643626"
"Inositol","Caenorhabditis elegans","17","","N2","10 mM","Y","25643626"
"Isoleucine","Caenorhabditis elegans","3","","N2","1 mM","N","25643626"
"Isoleucine","Caenorhabditis elegans","3","","N2","5 mM","N","25643626"
"Leucine","Caenorhabditis elegans","16","","N2","1 mM","Y","25643626"
"Isoleucine","Caenorhabditis elegans","3","","N2","10 mM","Y","25643626"
"Leucine","Caenorhabditis elegans","6","","N2","5 mM","Y","25643626"
"Leucine","Caenorhabditis elegans","7","","N2","10 mM","Y","25643626"
"L-histidine methyl ester","Caenorhabditis elegans","8","","N2","100 µM","Y","25643626"
"L-histidine methyl ester","Caenorhabditis elegans","9","","N2","1 mM","Y","25643626"
"Homocysteine","Caenorhabditis elegans","13","","N2","1 mM","Y","25643626"
"L-histidine methyl ester","Caenorhabditis elegans","4","","N2","10 mM","N","25643626"
"L-theanine","Caenorhabditis elegans","14","","N2","100 µM","Y","25643626"
"L-theanine","Caenorhabditis elegans","8","","N2","1 mM","Y","25643626"
"L-theanine","Caenorhabditis elegans","10","","N2","5 mM","Y","25643626"
"Lysine","Caenorhabditis elegans","8","","N2","5 mM","Y","25643626"
"L-theanine","Caenorhabditis elegans","-15","","N2","10 mM","Y","25643626"
"Lysine","Caenorhabditis elegans","6","","N2","10 mM","Y","25643626"
"Lysine","Caenorhabditis elegans","7","","N2","1 mM","Y","25643626"
"Methionine","Caenorhabditis elegans","8","","N2","5 mM","Y","25643626"
"Methionine","Caenorhabditis elegans","4","","N2","1 mM","N","25643626"
"N-acetyl-l-histidine","Caenorhabditis elegans","3","","N2","100 µM","N","25643626"
"N-acetyl-l-histidine","Caenorhabditis elegans","10","","N2","10 mM","N","25643626"
"Ornithine","Caenorhabditis elegans","3","","N2","100 µM","N","25643626"
"Ornithine","Caenorhabditis elegans","8","","N2","1 mM","Y","25643626"
"Ornithine","Caenorhabditis elegans","-10","","N2","10 mM","Y","25643626"
"Methionine","Caenorhabditis elegans","14","","N2","10 mM","Y","25643626"
"N-acetyl-l-histidine","Caenorhabditis elegans","12","","N2","1 mM","Y","25643626"
"Phosphoenolpyruvate","Caenorhabditis elegans","12","","N2","1 mM","Y","25643626"
"Phosphoenolpyruvate","Caenorhabditis elegans","8","","N2","10 mM","Y","25643626"
"Picolinic acid","Caenorhabditis elegans","7","","N2","1 mM","Y","25643626"
"Phosphoenolpyruvate","Caenorhabditis elegans","12","","N2","5 mM","Y","25643626"
"Proline","Caenorhabditis elegans","17","","N2","1 mM","Y","25643626"
"Proline","Caenorhabditis elegans","8","","N2","5 mM","Y","25643626"
"Proline","Caenorhabditis elegans","19","","N2","5 mM","Y","25643626"
"Putrescine","Caenorhabditis elegans","10","","N2","1 mM","Y","25643626"
"Putrescine","Caenorhabditis elegans","-13","","N2","10 mM","Y","25643626"
"Ribose","Caenorhabditis elegans","9","","N2","1 mM","Y","25643626"
"Ribose","Caenorhabditis elegans","9","","N2","5 mM","Y","25643626"
"Putrescine","Caenorhabditis elegans","1","","N2","100 µM","N","25643626"
"Proline","Caenorhabditis elegans","18","","N2","10 mM","Y","25643626"
"Serine","Caenorhabditis elegans","9","","N2","10 mM","Y","25643626"
"Ribose","Caenorhabditis elegans","1","","N2","10 mM","N","25643626"
"Serine","Caenorhabditis elegans","8","","N2","1 mM","Y","25643626"
"Serine","Caenorhabditis elegans","18","","N2","5 mM","Y","25643626"
"Succinate","Caenorhabditis elegans","4","","N2","10 mM","N","25643626"
"Serine","Caenorhabditis elegans","22","","N2","10 mM","Y","25643626"
"Succinate","Caenorhabditis elegans","10","","N2","5 mM","Y","25643626"
"Succinate","Caenorhabditis elegans","11","","N2","1 mM","Y","25643626"
"Taurine","Caenorhabditis elegans","11","","N2","1 mM","Y","25643626"
"Taurine","Caenorhabditis elegans","6","","N2","5 mM","Y","25643626"
"Taurine","Caenorhabditis elegans","-4","","N2","10 mM","Y","25643626"
"Threonine","Caenorhabditis elegans","3","","N2","5 mM","N","25643626"
"Tryptophan","Caenorhabditis elegans","14","","N2","1 mM","Y","25643626"
"Threonine","Caenorhabditis elegans","8","","N2","10 mM","Y","25643626"
"Threonine","Caenorhabditis elegans","0","","N2","1 mM","Y","25643626"
"Tryptophan","Caenorhabditis elegans","6","","N2","5 mM","Y","25643626"
"Tryptophan","Caenorhabditis elegans","9","","N2","1 mM","Y","25643626"
"Tyrosine","Caenorhabditis elegans","2","","N2","10 mM","N","25643626"
"Tryptophan","Caenorhabditis elegans","1","","N2","10 mM","N","25643626"
"Tyrosine","Caenorhabditis elegans","10","","N2","1 mM","Y","25643626"
"Tyrosine","Caenorhabditis elegans","5","","N2","5 mM","Y","25643626"
"Valine","Caenorhabditis elegans","13","","N2","1 mM","N","25643626"
"Valine","Caenorhabditis elegans","8","","N2","5 mM","Y","25643626"
"Xylose","Caenorhabditis elegans","6","","N2","10 mM","Y","25643626"
"Valine","Caenorhabditis elegans","-1","","N2","10 mM","Y","25643626"
"Rifampicin","Caenorhabditis elegans","42.6","","N2","5 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","34.8","","N2","1 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","37.9","","N2","50 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","43.4","","N2","200 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","49.2","","N2","100 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","45.3","","N2","10 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","50.8","","N2","20 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","55.8","","N2","50 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","45.4","","N2","50 µM","Y","25720500"
"Rifampicin","Caenorhabditis elegans","56.1","","N2","30 µM","Y","25720500"
"Rifamycin SV","Caenorhabditis elegans","20.9","","N2","50 µM","Y","25720500"
"Aspirin","Acheta domesticus","49","","","2.263x10^4 g aspirin/g food","Y","25833406"
"Aspirin","Acheta domesticus","67","","","5.65x10^5 g aspirin/g food","Y","25833406"
"Aspirin","Acheta domesticus","77","","","2.263x10^4 g aspirin/g food","Y","25833406"
"Aspirin","Acheta domesticus","52","","","5.65x10^5 g aspirin/g food","Y","25833406"
"Aspirin","Acheta domesticus","134","","","5.65x10^5 g aspirin/g food","Y","25833406"
"Metformin","Acheta domesticus","39","","","1.78x10^3 g metformin/g diet","Y","25833406"
"Metformin","Acheta domesticus","79","","","1.78x10^3 g metformin/g diet","Y","25833406"
"Recombinant buckwheat trypsin inhibitor","Caenorhabditis elegans","15.6","","N2","5 µM","Y","25959406"
"Curcumin","Caenorhabditis elegans","22.5","","N2","100 µM","Y","25959406"
"Aspirin","Acheta domesticus","111","","","2.263x10^4 g aspirin/g food","Y","25833406"
"Recombinant buckwheat trypsin inhibitor","Caenorhabditis elegans","7.5","","N2","2.5 µM","Y","25959406"
"Soybean trypsin inhibitor","Caenorhabditis elegans","8.7","","N2","5 µM","Y","25959406"
"Garlic extract","Caenorhabditis elegans","21","","N2","50 ppm","Y","25940980"
"Recombinant buckwheat trypsin inhibitor","Caenorhabditis elegans","23.7","","N2","10 µM","Y","25959406"
"Soybean trypsin inhibitor","Caenorhabditis elegans","10.4","","N2","10 µM","Y","25959406"
"Otophylloside B","Caenorhabditis elegans","30","","N2","50 µM","Y","26112394"
"Trametinib","Drosophila melanogaster","12","","white Dahomey","15.6 µM","Y","26119340"
"Beta-Guanidinopropionic acid","Drosophila melanogaster","9.1","","w1118","900 mM","Y","26120775"
"Beta-Guanidinopropionic acid","Drosophila melanogaster","13.3","","w1118","900 mM","Y","26120775"
"Curcumin","Drosophila melanogaster","-23.4","","Ra","100 mM","Y","26136617"
"(Iso)lappaol A","Caenorhabditis elegans","11.2","","N2","100 µM","Y","26141518"
"Arctigenin","Caenorhabditis elegans","6.7","","N2","10 µM","Y","26141518"
"Arctigenin","Caenorhabditis elegans","13.7","","N2","100 µM","Y","26141518"
"Arctiin","Caenorhabditis elegans","8.9","","N2","10 µM","Y","26141518"
"Arctiin","Caenorhabditis elegans","15.3","","N2","100 µM","Y","26141518"
"Lappaol C","Caenorhabditis elegans","11.3","","N2","10 µM","Y","26141518"
"Matairesinol","Caenorhabditis elegans","14","","N2","10 µM","Y","26141518"
"Matairesinol","Caenorhabditis elegans","25","","N2","100 µM","Y","26141518"
"Lappaol F","Caenorhabditis elegans","12.5","","N2","100 µM","Y","26141518"
"Verminoside","Caenorhabditis elegans","20.8","","N2","25 µM","Y","26189547"
"Verminoside","Caenorhabditis elegans","8.5","","N2","50 µM","Y","26189547"
"Verminoside","Caenorhabditis elegans","9.8","","N2","5 µM","Y","26189547"
"(R)-2-hydroxyglutarate","Caenorhabditis elegans","42.9","","","8 mM","Y","26190651"
"Alpha-ketoglutarate","Caenorhabditis elegans","47.9","","","8 mM","Y","26190651"
"(S)-2-hydroxyglutarate","Caenorhabditis elegans","31.8","","","8 mM","Y","26190651"
"Lappaol C","Caenorhabditis elegans","11.5","","N2","100 µM","Y","26141518"
"Panax notoginseng main root polysaccharide","Caenorhabditis elegans","21","","N2","0.1 mg/ml","ND","26234580"
"Epigallocatechin-3-gallate","Drosophila melanogaster","15.7","","","10 mg/ml","Y","26375250"
"Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside","Caenorhabditis elegans","17","","N2","50 µM","Y","26433219"
"Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside","Caenorhabditis elegans","17.3","","N2","25 µM","Y","26433219"
"Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside","Caenorhabditis elegans","10.1","","N2","5 µM","Y","26433219"
"Folic acid","Caenorhabditis elegans","0.2","","N2","50 µM","N","26546011"
"Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside","Caenorhabditis elegans","39","","N2","25 µM","Y","26433219"
"Folic acid","Caenorhabditis elegans","26.6","","N2","25 µM","Y","26546011"
"Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside","Caenorhabditis elegans","5.8","","N2","","Y","26433219"
"Folic acid","Caenorhabditis elegans","17.1","","N2","10 µM","Y","26546011"
"Geldanamycin","Caenorhabditis elegans","2","","N2","20 µM","N","26676933"
"Folic acid","Caenorhabditis elegans","15","","N2","25 µM","Y","26546011"
"Rapamycin","Caenorhabditis elegans","18.9","","N2","10 µM","Y","26676933"
"LY-294002","Caenorhabditis elegans","20.9","","N2","100 µM","Y","26676933"
"Caffeine","Caenorhabditis elegans","-96","","N2","60 mM","Y","26696878"
"Caffeine","Caenorhabditis elegans","-92","","N2","45 mM","Y","26696878"
"Allantoin","Caenorhabditis elegans","21.9","","N2","250 µM","Y","26676933"
"Trichostatin A","Caenorhabditis elegans","22.1","","N2","100 µM","Y","26676933"
"Caffeine","Caenorhabditis elegans","-60","","N2","30 mM","Y","26696878"
"Caffeine","Caenorhabditis elegans","0","","N2","5 mM","N","26696878"
"Caffeine","Caenorhabditis elegans","24","","N2","15 mM","Y","26696878"
"Caffeine","Caenorhabditis elegans","8","","N2","5 mM","Y","26696878"
"Caffeine","Caenorhabditis elegans","35","","N2","5 mM","Y","26696878"
"Caffeine","Caenorhabditis elegans","0","","N2","5 mM","N","26696878"
"Caffeine","Caenorhabditis elegans","65","","N2","5 mM","Y","26696878"
"Minocycline","Drosophila melanogaster","26.7","","Canton S","0.05mM","Y","29152127"
"Minocycline","Drosophila melanogaster","15.7","","Canton S","0.36mM","Y","29152127"
"Minocycline","Drosophila melanogaster","13.6","","Canton S","0.05mM","Y","29152127"
"Minocycline","Drosophila melanogaster","7.7","","Canton S","0.36mM","Y","29152127"
"Minocycline","Drosophila melanogaster","16.9","","w1118","0.05mM","Y","29152127"
"Minocycline","Drosophila melanogaster","6","","w1118","0.36mM","Y","29152127"
"Minocycline","Drosophila melanogaster","22.9","","w1118","0.05mM","Y","29152127"
"Minocycline","Drosophila melanogaster","15.6","","w1118","0.36mM","Y","29152127"
"Hydralazine","Caenorhabditis elegans","23.29","","N2","100 µM","Y","29263362"
"Hydralazine","Caenorhabditis elegans","14.83","","N2","50 µM","Y","29263362"
"Metformin","Caenorhabditis elegans","13.79","","N2","20 mM","Y","29263362"
"Ikarugamycin","Caenorhabditis elegans","22.25","","fem-1(ˆ’);dal-1(ˆ’)","5 µM","Y","29273768"
"Metformin","Caenorhabditis elegans","43.65","","N2","50 mM","Y","29027899"
"Alaskan Blueberry Extract","Caenorhabditis elegans","56","","N2","60 µg/mL","ND","27486399"
"Resveratrol","Caenorhabditis elegans","0.87","","N2","100 µM","Y","27882602"
"trans-2,40,5-trihydroxystilbene","Caenorhabditis elegans","6.44","","N2","100 µM","Y","27882602"
"A.sinensis root peptides","Caenorhabditis elegans","","","N2","2 mg/ml","ND","26941890"
"Aspirin","Caenorhabditis elegans","14.24","","N2","100 µM","Y","28910305"
"Guduchi Churna","Drosophila melanogaster","193.83","","Oregon-K","0.25g/100ml","Y","28827958"
"Guduchi Churna","Drosophila melanogaster","155.65","","Oregon-K","0.50g/100ml","Y","28827958"
"Guduchi Churna","Drosophila melanogaster","85.91","","Oregon-K","0.7 g/100 ml","Y","28827958"
"Hon Tsai Tai Extract","Caenorhabditis elegans","7.97","","N2","2 mg/ml","Y","26726147"
"d-Allulose","Caenorhabditis elegans","4","","N2","5 mM","Y","28965946"
"d-Allulose","Caenorhabditis elegans","12","","N2","10 mM","Y","28965946"
"d-Allulose","Caenorhabditis elegans","7","","N2","25 mM","Y","28965946"
"α‐ketoisovalerate","Caenorhabditis elegans","35.02","","N2","10 mM","Y","26729005"
"α‐keto‐β‐methylvalerate","Caenorhabditis elegans","20.77","","N2","10 mM","Y","26729005"
"4‐methyl‐2‐oxovalerate","Caenorhabditis elegans","12.44","","N2","10 mM","Y","26729005"
"Pyruvate","Caenorhabditis elegans","-25.35","","N2","8 mM","Y","26729005"
"Pyruvate","Caenorhabditis elegans","25.17","","N2","8 mM","Y","26729005"
"2,4-pyridinedicarboxylic acid","Caenorhabditis elegans","-17.13","","N2","10 mM","Y","26729005"
"Spermidine","Mus musculus","23.79","","C57BL/6","Drinking water supplemented with 3mM","Y","28386016"
"Rotenone","Drosophila melanogaster","-21.14","","Dahomey","100 µM","Y","27076081"
"Paraquat","Drosophila melanogaster","-41.4","","Dahomey","1 mM","Y","27076081"
"Alkaline Water","Mus musculus","1.8","","CD1","","Y","27340414"
"Dafachronic Acid","Caenorhabditis elegans","23.44","","N2","0.1µM","Y","26691751"
"Nitrophenyl piperazine containing compound 1","Caenorhabditis elegans","72.5","","N2","50 µM","Y","27220516"
"Nitrophenyl piperazine containing compound 1","Caenorhabditis elegans","23","","N2","10 µM","Y","27220516"
"Nitrophenyl piperazine containing compound 1","Caenorhabditis elegans","-23.08","","N2","500 µM","Y","27220516"
"M084","Caenorhabditis elegans","9.11","","N2","50 µM","Y","27854075"
"M084","Caenorhabditis elegans","19.12","","N2","500 µM","Y","27854075"
"M084","Caenorhabditis elegans","6.92","","N2","1 mM","Y","27854075"
"Colanic acid","Drosophila melanogaster","20","","OreR","35 µg/ml","Y","28622510"
"Colanic acid","Drosophila melanogaster","17","","OreR","350 µg/ml","Y","28622510"
"Colanic acid","Caenorhabditis elegans","9","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","24","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","13","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","12","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","11","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","10","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","3","","N2","","N","28622510"
"Colanic acid","Caenorhabditis elegans","-1","","N2","","N","28622510"
"Colanic acid","Caenorhabditis elegans","4","","N2","","N","28622510"
"Colanic acid","Caenorhabditis elegans","6","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","6","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","6","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","11","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","14","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","13","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","6","","isp-1(qm150)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","1","","isp-1(qm150)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","0","","isp-1(qm150)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","4","","nuo-6(qm200)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","-5","","nuo-6(qm200)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","1","","nuo-6(qm200)","","N","28622510"
"Colanic acid","Caenorhabditis elegans","17","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","14","","N2","","Y","28622510"
"Colanic acid","Caenorhabditis elegans","16","","N2","","Y","28622510"
"Powdered Broccoli Lyophilisate","Tribolium castaneum","","","San Bernardino","1%","Y","23321956"
"Reserpine","Caenorhabditis elegans","25.75","","N2","60 µM","Y","27966489"
"Echinacoside","Caenorhabditis elegans","7.6","","N2","150 µM","Y","26027643"
"Echinacoside","Caenorhabditis elegans","15.82","","N2","300 µM","Y","26027643"
"Echinacoside","Caenorhabditis elegans","9.47","","N2","600 µM","Y","26027643"
"Sesamin","Caenorhabditis elegans","9.55","","N2","5.75 µg","Y","28239780"
"Nicotinamide riboside","Mus musculus","4.7","","C57BL/6J","400 mg/kg/day","Y","27127236"
"Sorbitol","Caenorhabditis elegans","17.9","","N2","1%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","32.7","","N2","2.50%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","16","","N2","12.50%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","27.12","","N2","5%","Y","26579191"
"Piceatannol","Caenorhabditis elegans","18.3","","N2","50 µM","Y","28128482"
"Piceatannol","Caenorhabditis elegans","18.3","","N2","100 µM","Y","28128482"
"Buthionine Sulfoximine","Musca Domestica","-30","","","3 mM","Y","2866912"
"2-Oxothiazolidine-4-carboxylate","Musca Domestica","-24","","","3 mM","Y","2866912"
"Quercetin","Mus musculus","-5.8","","LACA","10 mg/day","N","7140862"
"Crocus Sativus Aqueous Extract","Drosophila melanogaster","18.3","","w1118","1%","Y","27878268"
"Crocus Sativus Aqueous Extract","Drosophila melanogaster","8.8","","w1118","1%","Y","27878268"
"Calycosin","Caenorhabditis elegans","6.24","","N2","50 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","15.64","","N2","100 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","17.8","","N2","400 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","24.86","","N2","200 µM","Y","28434978"
"Rutin","Drosophila melanogaster","17","","Canton-S","200 µM","Y","28389882"
"Rutin","Drosophila melanogaster","23.52","","Canton-S","400 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-23","","Canton-S","600 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-38","","Canton-S","800 µM","Y","28389882"
"Rutin","Drosophila melanogaster","30","","Canton-S","200 µM","Y","28389882"
"Rutin","Drosophila melanogaster","43.33","","Canton-S","400 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-13.33","","Canton-S","600 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-16.66","","Canton-S","800 µM","Y","28389882"
"Oleic Acid","Caenorhabditis elegans","17.29","","N2","800 µM","Y","28379943"
"Palmitoleic acid","Caenorhabditis elegans","17.09","","N2","800 µM","Y","28379943"
"cis-vaccenic acid","Caenorhabditis elegans","13.06","","N2","800 µM","Y","28379943"
"Fructose","Caenorhabditis elegans","21.96","","N2","55 mM","Y","27680107"
"Fructose","Caenorhabditis elegans","45.66","","N2","100 mM","Y","27680107"
"Fructose","Caenorhabditis elegans","-31.79","","N2","555 mM","Y","27680107"
"Glucose","Caenorhabditis elegans","-46.8","","N2","111 mM","Y","27680107"
"Silymarin","Caenorhabditis elegans","4.55","","N2","10 µM","Y","28039083"
"Silymarin","Caenorhabditis elegans","13.64","","N2","50 µM","Y","28039083"
"Silychristin A/B","Caenorhabditis elegans","7.06","","N2","10 µM","Y","28039083"
"Silydianin","Caenorhabditis elegans","5.88","","N2","10 µM","Y","28039083"
"Silybin A/B","Caenorhabditis elegans","9.04","","N2","10 µM","Y","28039083"
"Isosilybin A/B","Caenorhabditis elegans","6.82","","N2","10 µM","Y","28039083"
"2,3-dehydrosilybin","Caenorhabditis elegans","2.16","","N2","5 µM","Y","28039083"
"2,3-dehydrosilybin","Caenorhabditis elegans","10.15","","N2","10 µM","Y","28039083"
"2,3-Dehydrosilybin A","Caenorhabditis elegans","12.55","","N2","10 µM","Y","28039083"
"2,3-Dehydrosilybin B","Caenorhabditis elegans","7.18","","N2","10 µM","Y","28039083"
"7-methyl-Dehydrosilybin","Caenorhabditis elegans","-9","","N2","10 µM","Y","28039083"
"Glucose","Caenorhabditis elegans","-18.69","","N2","400 mM","Y","27776915"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","6.25","","N2","10 µg/ml","N","26886723"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","11.76","","N2","100 µg/ml","Y","26886723"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","22","","N2","20 µg/mL","Y","26886723"
"Dimethyl Sulfide","Drosophila melanogaster","13.56","","w1118","10 µM","Y","27790859"
"Dimethyl Sulfide","Drosophila melanogaster","24.25","","w1118","100 µM","Y","27790859"
"Dimethyl Sulfide","Drosophila melanogaster","16.04","","w1118","1 mM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","8.43","","N2","1 µM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","24.33","","N2","10 µM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","20.14","","N2","5 µM","Y","27790859"
"Metformin","Caenorhabditis elegans","24.46","","N2","50 mM","Y","27984722"
"Pyrroloquinoline quinone","Caenorhabditis elegans","33.33","","N2","500 µM","Y","27090484"
"Pyrroloquinoline quinone","Caenorhabditis elegans","44.44","","N2","1 mM","Y","27090484"
"ursolic acid","Caenorhabditis elegans","32.48","","N2","25 µM","Y","27773812"
"Vitamin D3","Caenorhabditis elegans","10.98","","N2","25 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","28.77","","N2","50 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","23.29","","N2","100 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","47.95","","N2","250 µM","Y","27783938"
"Urolithin A","Caenorhabditis elegans","24","","N2","10 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","40.7","","N2","30 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","37.5","","N2","50 µM","Y","27400265"
"Urolithin B","Caenorhabditis elegans","36.6","","N2","50 µM","Y","27400265"
"Urolithin C","Caenorhabditis elegans","36","","N2","50 µM","Y","27400265"
"Urolithin D","Caenorhabditis elegans","19","","N2","50 µM","Y","27400265"
